country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Kuwait;878k;1.23M;1.42M;1.77M;1.38M;1.18M;1.43M;1.5M;2.62M;3.98M;4.93M;5.1M;6.41M;7.6M;7.66M;7.66M;7.14M;7.1M;7.33M;
Lao;29.5k;55.2k;112k;204k;658k;1.01M;1.48M;2.02M;3.23M;4M;5.48M;4.3M;4.61M;4.62M;3.73M;3.96M;3.71M;3.66M;4.36M;
Lebanon;767k;775k;795k;884k;994k;1.11M;1.26M;1.43M;2.39M;2.86M;3.46M;3.76M;3.88M;4.39M;4.66M;4.28M;4.4M;4.42M;4.24M;
Liberia;2000;5000;47.3k;94.4k;160k;280k;563k;855k;1.09M;1.57M;2.02M;2.38M;2.55M;3.23M;3.65M;3.12M;2.66M;;;
Libya;50k;70k;127k;500k;2M;3.93M;4.5M;7.38M;9.53M;10.9M;10M;9.59M;10.2M;8.5M;9.75M;7.66M;6.02M;;;
St. Lucia;2700;14.3k;99k;101k;106k;106k;147k;175k;190k;198k;217k;216k;212k;188k;188k;177k;177k;185k;;
Liechtenstein;11k;11.4k;25k;25.5k;27.5k;28.8k;32k;34k;35k;35.5k;37k;36.1k;38.4k;40.7k;41k;44.3k;46.4k;47.3k;47.7k;
Sri Lanka;668k;931k;1.39M;2.21M;3.36M;5.41M;7.98M;11.1M;16.3M;17.4M;18.3M;19.3M;20.3M;22.1M;23.9M;25.8M;28.2M;30.3M;28.4M;
Lesotho;57k;138k;126k;196k;250k;358k;482k;593k;661k;987k;1.23M;1.54M;1.79M;2.14M;2.14M;2.28M;2.38M;1.58M;1.68M;
Lithuania;1.02M;1.65M;2.1M;3.05M;4.35M;4.72M;4.91M;5.02M;4.96M;4.89M;4.94M;5M;4.57M;4.27M;4.18M;4.2M;4.36M;4.59M;4.66M;
Luxembourg;409k;473k;539k;470k;510k;713k;685k;707k;720k;727k;765k;761k;788k;802k;807k;764k;794k;799k;836k;
Latvia;657k;917k;1.22M;1.54M;1.87M;2.18M;2.22M;2.3M;2.3M;2.31M;2.31M;2.63M;2.56M;2.38M;2.59M;2.65M;2.46M;2.07M;2.07M;
Macao;141k;194k;276k;364k;432k;533k;636k;794k;933k;1.04M;1.12M;1.35M;1.61M;1.72M;1.86M;1.9M;1.97M;2.05M;2.18M;
Morocco;4.77M;6.2M;7.36M;9.34M;12.4M;16M;20M;22.8M;25.3M;32M;36.6M;39M;42.4M;44.1M;43.1M;41.5M;43.9M;44.7M;46.7M;
Monaco;14.3k;14.9k;15.1k;15.8k;17.2k;18.3k;20.4k;22k;23k;23.4k;31.8k;33.2k;35.5k;33.7k;34k;33.3k;33k;32.7k;33.8k;
Moldova;225k;338k;476k;787k;1.09M;1.36M;1.88M;2.42M;2.14M;2.55M;3.22M;3.58M;3.7M;3.74M;3.71M;3.79M;3.75M;3.64M;3.61M;
Madagascar;148k;163k;284k;334k;510k;1.05M;2.22M;4.84M;6.28M;7.71M;8.68M;8.78M;8.46M;9.71M;10.7M;8M;8.73M;10.7M;;
Maldives;18.9k;41.9k;66.5k;113k;204k;271k;314k;436k;458k;494k;530k;561k;625k;666k;740k;812k;900k;858k;828k;
Mexico;21.8M;25.9M;30.1M;38.5M;47.1M;55.4M;66.6M;75.3M;83.2M;91.4M;94.6M;101M;107M;105M;108M;112M;114M;120M;122M;
Marshall Islands;489;552;598;644;660;;;;;;;;;15.5k;15.5k;;16k;;;
North Macedonia;223k;365k;776k;986k;1.13M;1.26M;1.79M;1.97M;1.94M;2.15M;2.21M;2.24M;2.24M;2.22M;2.08M;2.05M;2.01M;1.97M;1.92M;
Mali;24k;46k;247k;407k;762k;1.51M;2.53M;3.44M;4.46M;7.44M;10.8M;14.6M;19.7M;23.5M;22.7M;20.2M;22M;22M;22.9M;
Malta;239k;277k;290k;306k;324k;347k;369k;386k;422k;456k;522k;532k;557k;546k;524k;585k;605k;616k;634k;
Myanmar;22.7k;48k;66.5k;92.5k;129k;214k;248k;367k;502k;594k;1.24M;3.73M;6.83M;29M;41M;50.6M;47.9M;61.1M;;
Montenegro;;;;484k;543k;644k;900k;1.16M;1.29M;1.17M;1.16M;991k;994k;1.01M;1.01M;1.04M;1.04M;1.13M;1.15M;
Mongolia;195k;216k;319k;429k;557k;775k;1.19M;1.76M;2.25M;2.51M;2.94M;3.38M;2.88M;3.03M;3.07M;3.37M;3.89M;4.22M;4.42M;
Northern Mariana Islands;13.2k;17.1k;18.6k;20.5k;;;;;;;;;;;;;;;;
Mozambique;153k;255k;436k;708k;1.5M;2.34M;3.08M;4.41M;5.97M;7.22M;7.86M;8.8M;12.4M;18.5M;20.1M;15M;11.9M;14.1M;14.8M;
Mauritania;110k;247k;351k;522k;746k;1.06M;1.41M;2.09M;2.18M;2.78M;3.31M;4.03M;3.99M;3.75M;3.64M;3.61M;4.07M;4.57M;4.71M;
Mauritius;272k;348k;462k;548k;657k;772k;929k;1.03M;1.09M;1.19M;1.29M;1.49M;1.53M;1.65M;1.76M;1.81M;1.84M;1.92M;1.87M;
Malawi;55.7k;86k;135k;222k;421k;620k;1.05M;1.51M;2.49M;3.12M;3.95M;4.65M;5.29M;5.63M;6.57M;7.18M;7.77M;7.08M;8.9M;
Malaysia;7.38M;9.05M;11.1M;14.6M;19.5M;19.5M;23.3M;27.7M;30.1M;33.9M;36.7M;41.3M;43M;44.9M;44.1M;43.5M;42.3M;42.4M;44.6M;
Namibia;107k;150k;224k;286k;449k;609k;800k;1.05M;1.63M;1.95M;2.19M;2.15M;2.73M;2.67M;2.55M;2.66M;2.68M;2.53M;2.58M;
New Caledonia;67.9k;80k;97.1k;116k;134k;155k;176k;196k;210k;221k;227k;231k;241k;243k;260k;;;;;
Niger;2130;57.5k;82.4k;172k;324k;483k;900k;1.9M;2.6M;3.67M;4.74M;5.4M;7.01M;8.24M;8.96M;7.47M;8.78M;;;
Nigeria;266k;1.57M;3.15M;9.15M;18.6M;32.3M;40.4M;63M;74.5M;87.3M;95.2M;113M;127M;139M;151M;154M;145M;173M;185M;
Nicaragua;165k;237k;467k;739k;1.12M;1.83M;2.5M;3.11M;3.34M;3.96M;4.82M;5.85M;6.81M;7.07M;7.26M;7.75M;8.18M;7.44M;5.79M;
Netherlands;12.2M;12.1M;13.2M;14.8M;15.8M;17.3M;19.3M;20.6M;20.1M;19.2M;19.8M;19.7M;19.5M;19.6M;20.8M;20.9M;20.5M;21.1M;21.8M;
Curaçao;;;;;;;;;201k;204k;206k;205k;204k;193k;190k;187k;187k;186k;184k;
Norway;3.59M;3.79M;4.06M;4.52M;4.75M;4.87M;5.04M;5.21M;5.35M;5.6M;5.73M;5.8M;5.69M;5.74M;5.71M;5.73M;5.72M;5.72M;5.78M;
Nepal;17.3k;21.9k;81.9k;117k;227k;1.16M;3.27M;4.2M;5.6M;9.2M;13.4M;16.6M;21.4M;23M;27.5M;32.1M;36.1M;39.2M;;
Nauru;1500;;;;;;;;;6200;6700;6800;;;9400;9900;10k;;;
New Zealand;2.29M;2.45M;2.6M;3.03M;3.53M;3.8M;4.25M;4.62M;4.7M;4.71M;4.82M;4.92M;4.77M;5.1M;5.6M;6.1M;6.4M;6.4M;;
Oman;323k;463k;594k;806k;1.33M;1.82M;2.5M;3.22M;3.97M;4.61M;4.81M;5.28M;5.62M;6.19M;6.65M;6.87M;6.94M;6.44M;6.38M;
Pakistan;743k;1.7M;2.4M;5.02M;12.8M;34.5M;62.9M;88M;94.3M;99.2M;109M;120M;128M;136M;126M;136M;145M;154M;165M;
Panama;475k;526k;692k;1.26M;1.75M;2.17M;3.01M;3.92M;6.07M;6.65M;6.74M;6.21M;6.2M;6.91M;5.74M;5.14M;5.28M;5.72M;5.83M;
Peru;1.79M;2.31M;2.93M;4.09M;5.58M;9.12M;15.4M;21M;24.7M;29.1M;32.5M;29.4M;29.8M;31.9M;34.2M;36.9M;38.9M;42.2M;;
Philippines;12.2M;15.4M;22.5M;32.9M;34.8M;42.9M;57.3M;68.1M;75.6M;83.2M;94.2M;102M;103M;111M;118M;120M;120M;135M;167M;
Palau;;2460;3920;3920;6050;8350;10.7k;11.7k;12.7k;14.5k;15.4k;17.2k;17.9k;19.1k;23.7k;;;;;
Papua New Guinea;10.7k;15k;17.5k;48.3k;75k;100k;300k;874k;1.42M;1.91M;2.4M;2.71M;3M;3.36M;3.56M;3.78M;4.02M;;;
Poland;10M;13.9M;17.4M;23.1M;29.2M;36.7M;41.4M;43.9M;44.8M;47M;50.2M;54.1M;57M;56.9M;54.5M;53M;50.5M;48.3M;48.4M;
Puerto Rico;1.63M;1.65M;1.71M;1.85M;1.99M;2.2M;2.43M;2.54M;2.71M;2.93M;3.11M;3.05M;3.09M;3.21M;3.2M;3.25M;3.39M;3.33M;3.37M;
North Korea;0;0;0;0;0;0;0;0;69.3k;432k;1M;1.7M;2.42M;2.8M;3.24M;3.61M;3.81M;;;
Portugal;7.98M;8.67M;10M;10.6M;11.4M;12.2M;13.5M;14M;11.8M;12.2M;12.3M;11.9M;12M;11.9M;11.7M;11.6M;11.8M;11.9M;11.9M;
Paraguay;1.15M;1.67M;1.77M;1.75M;1.89M;3.23M;4.69M;5.79M;5.62M;5.92M;6.53M;6.79M;7.05M;7.31M;7.41M;7.49M;7.47M;7.44M;7.76M;
Palestine;176k;252k;264k;437k;568k;822k;1.02M;1.31M;1.8M;2.6M;2.88M;3.13M;3.19M;3.2M;3.53M;3.71M;4M;4.38M;4.3M;
French Polynesia;67.3k;52.3k;60.1k;96k;120k;152k;175k;187k;208k;216k;223k;228k;243k;255k;268k;280k;288k;303k;;
Qatar;178k;267k;377k;490k;717k;920k;1.26M;1.43M;1.95M;2.19M;2.3M;2.6M;3.31M;3.31M;3.74M;3.65M;3.99M;3.95M;3.92M;
Romania;3.85M;5.11M;7.04M;10.2M;13.4M;16M;20.4M;24.5M;25.1M;24.4M;23.4M;22.8M;22.9M;22.9M;23.1M;22.9M;22.4M;22.6M;22.7M;
Russia;7.75M;17.6M;36.1M;73.7M;120M;151M;171M;200M;230M;238M;204M;208M;218M;221M;227M;229M;227M;229M;240M;
Rwanda;65k;82.4k;131k;137k;223k;314k;635k;1.32M;2.43M;3.55M;4.45M;5.69M;6.69M;7.75M;8.76M;8.92M;8.82M;9.7M;9.66M;
Saudi Arabia;2.53M;5.01M;7.24M;9.18M;14.2M;19.7M;28.4M;36M;44.9M;51.6M;54M;53M;53.1M;52.7M;52.8M;47.9M;40.2M;41.3M;41.3M;
Sudan;104k;191k;527k;1.05M;1.83M;4.68M;8.22M;12M;15.3M;18.1M;25.1M;27.7M;27.7M;27.8M;27.9M;27.8M;28.6M;30.1M;33M;
Senegal;302k;553k;782k;1.12M;1.73M;2.98M;3.63M;5.39M;6.9M;8.34M;9.35M;11.5M;13.1M;14.4M;15M;15.2M;15.8M;16.6M;17.9M;
Singapore;2.99M;3.31M;3.58M;3.99M;4.38M;4.79M;5.92M;6.41M;6.88M;7.38M;7.79M;8.07M;8.44M;8.1M;8.23M;8.46M;8.38M;8.57M;9.03M;
Solomon Islands;967;999;1060;3000;6000;7000;10.9k;30k;50k;116k;275k;302k;323k;377k;425k;417k;465k;482k;478k;
Sierra Leone;26.9k;67k;113k;;;;776k;1.01M;1.16M;2M;2.14M;2.21M;4M;4.76M;5.66M;6.28M;6.63M;6.36M;6.73M;
El Salvador;858k;889k;1.15M;1.83M;2.41M;3.85M;6.14M;6.95M;7.57M;7.7M;8.32M;8.65M;8.99M;9.19M;9.33M;9.64M;9.48M;9.43M;10.4M;
San Marino;15.9k;16.8k;16.9k;17.1k;17.1k;17.4k;17.5k;24.4k;29.9k;30.6k;35.5k;36k;36.8k;37.6k;36.6k;36.6k;38k;38.5k;38.8k;
Somalia;85k;100k;200k;500k;500k;550k;600k;627k;641k;648k;1.8M;2.3M;5.18M;5.5M;5.84M;6.65M;7.12M;7.65M;;
Serbia;;;;4.73M;5.51M;6.64M;8.45M;9.62M;9.91M;9.92M;10.2M;9.14M;9.2M;9.34M;9.16M;9.09M;8.62M;8.43M;8.45M;
South Sudan;;;;;;;;;;1.5M;1.8M;2.3M;2.85M;2.88M;2.9M;2.7M;2.79M;1.92M;2.22M;
Sao Tome and Principe;0;1980;4820;7750;12k;18.4k;30.1k;50.6k;80.8k;103k;115k;122k;125k;129k;185k;178k;174k;163k;166k;
Suriname;87k;108k;169k;213k;233k;320k;380k;657k;764k;521k;534k;569k;869k;928k;750k;807k;796k;752k;814k;
Slovak Republic;2.15M;2.92M;3.68M;4.28M;4.54M;4.89M;6.07M;5.52M;5.5M;5.93M;5.98M;6.09M;6.21M;6.38M;6.68M;6.99M;7.12M;7.24M;7.4M;
Slovenia;1.47M;1.67M;1.74M;1.85M;1.76M;1.82M;1.93M;2.05M;2.1M;2.12M;2.17M;2.24M;2.28M;2.33M;2.35M;2.39M;2.44M;2.47M;2.51M;
Sweden;7.18M;7.95M;8.8M;8.79M;9.1M;9.61M;10.1M;10M;10.4M;11M;11.5M;11.8M;12M;12.3M;12.6M;12.5M;12.5M;12.6M;12.9M;
Eswatini;55k;68k;85k;145k;200k;250k;380k;532k;664k;726k;767k;805k;893k;917k;941k;995k;1.05M;;;
Sint Maarten (Dutch part);;;;;;;;;;;;68.8k;;;;;;;;
Seychelles;36.7k;44.7k;49.2k;54.4k;58.8k;70.3k;77.3k;93.5k;111k;118k;127k;136k;137k;151k;148k;152k;167k;179k;194k;
Syria;200k;400k;1.19M;2.35M;2.95M;4.67M;6.23M;7.06M;10M;11.7M;12.9M;13M;12.3M;14M;14.3M;13.3M;15.4M;17.1M;19.4M;
Turks and Caicos Islands;0;9050;19.4k;25.1k;;;;;;;;;;;;;;;;
Chad;22k;34.2k;65k;123k;210k;466k;918k;1.6M;2.28M;2.88M;3.67M;4.4M;4.56M;5.25M;5.47M;5.59M;6.37M;6.98M;7.66M;
Togo;95k;165k;244k;333k;434k;708k;1.19M;1.55M;2.19M;2.6M;2.7M;3.31M;4.26M;4.52M;4.86M;5.51M;6.07M;6.14M;6.24M;
Thailand;7.55M;17.4M;21.6M;27M;30.5M;40.1M;53M;61.8M;66M;71.7M;77.4M;85M;93.8M;97.1M;103M;120M;122M;125M;130M;
Tajikistan;1630;13.2k;47.6k;135k;265k;2.15M;2.13M;3.67M;4.9M;5.94M;6.32M;6.53M;7.54M;8M;8.49M;9.4M;9.9M;;;
Turkmenistan;8170;8170;9190;50.1k;105k;217k;382k;1.14M;2.13M;3.2M;5.3M;5.9M;6.13M;7.21M;7.84M;8.57M;9.38M;;;
Timor-Leste;;;20.1k;25.7k;33.1k;49.1k;78.2k;125k;351k;473k;614k;621k;650k;1.38M;1.38M;1.49M;1.56M;1.47M;1.43M;
Tonga;236;3350;11.2k;16.4k;29.9k;30.1k;46.5k;50.5k;53k;54.3k;55k;56k;57.5k;68k;73.5k;80k;108k;108k;62.1k;
Trinidad and Tobago;256k;263k;336k;651k;924k;1.52M;1.51M;1.81M;1.85M;1.89M;1.83M;1.88M;1.94M;1.98M;2.12M;2.17M;2.03M;1.97M;2.16M;
Tunisia;389k;574k;1.92M;3.74M;5.68M;7.34M;7.84M;8.6M;9.8M;11.1M;12.4M;12.8M;12.7M;14.3M;14.6M;14.3M;14.3M;14.8M;14.8M;
Turkey;19.6M;23.3M;27.9M;34.7M;43.6M;52.7M;62M;65.8M;62.8M;61.8M;65.3M;67.7M;69.7M;71.9M;73.6M;75.1M;77.8M;80.1M;80.8M;
Tuvalu;0;0;0;500;1300;1600;1800;;1000;1600;2130;2800;3400;3800;6600;7600;8000;;;
Tanzania;276k;607k;1.3M;1.94M;2.96M;5.61M;8.25M;13M;17.5M;21M;25.7M;27.2M;27.4M;31.9M;39.7M;40M;40M;43.5M;47.7M;
Uganda;284k;393k;776k;1.17M;1.32M;2.01M;4.2M;8.55M;9.38M;12.8M;16.7M;16.4M;18.1M;20.4M;20.2M;22.8M;24.9M;24.5M;25.4M;
Ukraine;2.22M;3.69M;6.5M;13.7M;30M;49.1M;55.2M;55.7M;54.9M;53.9M;55.6M;59.3M;62.5M;61.2M;60.7M;56.7M;55.7M;53.9M;54.8M;
Uruguay;520k;514k;498k;600k;1.15M;2.33M;3M;3.51M;4.11M;4.44M;4.76M;5M;5.27M;5.5M;5.17M;5.12M;5.1M;5.17M;4.78M;
United States;129M;142M;161M;185M;204M;230M;249M;261M;274M;285M;297M;305M;311M;356M;382M;396M;400M;422M;442M;
Uzbekistan;128k;187k;321k;544k;720k;2.53M;5.69M;12.4M;16.4M;21M;25.4M;20.3M;21.5M;21.6M;21.8M;23.3M;24.3M;23.2M;33.4M;
St. Vincent and the Grenadines;7490;9980;62.9k;72k;70.6k;87.6k;110k;130k;121k;132k;132k;127k;125k;115k;113k;113k;116k;106k;103k;
Venezuela;6.47M;6.54M;7.02M;8.42M;12.5M;18.8M;23.8M;27.4M;28.1M;27.9M;28.8M;30.6M;30.9M;30.5M;29.1M;27.6M;24.5M;20.7M;18.5M;
British Virgin Islands;;8000;;;;;20.7k;23k;47k;47.5k;46.6k;48.7k;53.4k;54.8k;57.2k;39.7k;44k;40k;39.5k;
Virgin Islands (U.S.);41k;45.1k;49.3k;64.2k;80.3k;;;;;;;;;;;;;;;
Vietnam;1.25M;1.9M;2.74M;4.96M;9.59M;18.9M;45M;74.9M;98.2M;112M;127M;132M;124M;136M;120M;121M;120M;141M;136M;
Vanuatu;350;4900;7800;10.5k;12.7k;15k;26k;36k;132k;170k;137k;146k;127k;156k;175k;219k;228k;251k;265k;
Samoa;2500;2700;10.5k;16k;24k;45.5k;86k;;;90k;;100k;99.9k;107k;121k;151k;124k;;;
Yemen;148k;487k;675k;1.48M;2.28M;2.98M;4.35M;6.45M;8.31M;11.1M;11.7M;13.9M;16.8M;17.1M;15M;16.4M;15.4M;15.3M;;
South Africa;10.8M;13.7M;16.9M;20.8M;34M;39.7M;42.3M;45M;46.4M;50.4M;64M;68.4M;76.9M;79.3M;88M;82.4M;88.5M;92.4M;97M;
Zambia;121k;139k;241k;464k;950k;1.66M;2.64M;3.54M;4.41M;5.45M;8.16M;10.5M;10.4M;10.1M;11.6M;12M;13.4M;15.5M;17.2M;
Zimbabwe;314k;339k;364k;426k;647k;849k;1.23M;1.65M;3.99M;7.7M;9.2M;12.6M;13.6M;11.8M;12.8M;12.9M;14.1M;12.9M;13.2M;
